无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,R000074,0.0,1692.6029400021396,1692.6029400021396
U02,A,R000083,0.0,1654.7446283967497,1654.7446283967497
U03,A,R000101,0.0,1612.9286703553717,1612.9286703553717
U04,A,R071595,0.0,1193.0428319099597,1193.0428319099597
U05,B,R000203,0.0,1576.8673992791169,1576.8673992791169
U06,B,R000248,0.0,1924.9051008627825,1924.9051008627825
U07,C,R000606,0.0,1880.8365721045984,1880.8365721045984
U08,C,R000637,0.0,1561.3384316100783,1561.3384316100783
U04,A,R071594,1193.0428319099597,2386.0856638199193,1193.0428319099597
U08,C,R000438,1561.3384316100783,3123.2221728053637,1561.8837411952854
U05,B,R000262,1576.8673992791169,3446.2730473983247,1869.4056481192079
U03,A,R071593,1612.9286703553717,2805.9715022653313,1193.0428319099597
U07,C,R000490,1880.8365721045984,3992.953893039192,2112.1173209345934
U06,B,R004168,1924.9051008627825,4165.673378016352,2240.76827715357
U08,C,R000683,3123.2221728053637,5328.1918328921365,2204.969660086773
U05,B,R006179,3446.2730473983247,5273.579432028017,1827.306384629693
U07,C,R000575,3992.953893039192,6299.294881911943,2306.3409888727515
U06,B,R000269,4165.673378016352,5996.145410048589,1830.4720320322367
U05,B,R000199,5273.579432028017,6850.446831307134,1576.8673992791169
U08,C,R000543,5328.1918328921365,7765.085897772538,2436.894064880402
U06,B,R003841,5996.145410048589,8028.910102821545,2032.764692772956
U07,C,R000280,6502.260223975116,7932.143965170401,1429.8837411952854
U05,B,R000241,6850.446831307134,8040.497898377545,1190.051067070412
