电池编号,机型编号,架次编号,任务开始_s,返航时刻_s,返航SOC,充电时长_s,重新充满时刻_s
A-B01,A,R000074,0.0,1692.6029400021396,0.4798252738776434,1176.2271439590636,2868.830083961203
A-B02,A,R000083,0.0,1654.7446283967497,0.5656470103516276,1064.6588865428844,2719.403514939634
A-B03,A,R000101,0.0,1612.9286703553717,0.5644834665967466,1066.1714934242293,2679.1001637796007
A-B04,A,R071595,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
B-B01,B,R000203,0.0,1576.8673992791169,0.5298282068614315,1481.631108106852,3058.498507385969
B-B02,B,R000248,0.0,1924.9051008627825,0.3104562468358474,1861.8758388178644,3786.780939680647
C-B01,C,R000606,0.0,1880.8365721045984,0.4695780952345944,1982.580793658379,3863.417365762977
C-B02,C,R000637,0.0,1561.3384316100783,0.6754079689847342,1536.6160671997427,3097.954498809821
A-B05,A,R071594,1193.0428319099597,2386.0856638199193,0.7279184248795054,853.7060476566429,3239.7917114765623
C-B03,C,R000438,1561.3384316100783,3123.2221728053637,0.633821157436679,1626.7208255538621,4749.942998359225
B-B03,B,R000262,1576.8673992791169,3446.2730473983247,0.46513624077098803,1593.7638493302875,5040.036896728612
A-B06,A,R071593,1612.9286703553717,2805.9715022653313,0.7279184248795054,853.7060476566429,3659.6775499219743
C-B04,C,R000490,1880.8365721045984,3992.953893039192,0.22647400110649651,2509.306330935924,6502.260223975116
B-B04,B,R004168,1924.9051008627825,4165.673378016352,0.3672878950173668,1763.3676486365641,5929.041026652916
C-B02,C,R000683,3123.2221728053637,5328.1918328921365,0.26701234184559763,2421.4732593345384,7749.6650922266745
B-B01,B,R006179,3446.2730473983247,5273.579432028017,0.5319895654947724,1477.8847531423944,6751.464185170412
C-B01,C,R000575,3992.953893039192,6299.294881911943,0.22704598713981916,2508.0670278637253,8807.361909775667
B-B02,B,R000269,4165.673378016352,5996.145410048589,0.4216762281099964,1669.094537942673,7665.239947991262
B-B03,B,R000199,5273.579432028017,6850.446831307134,0.6113628352707474,1340.3044188640376,8190.751250171172
C-B03,C,R000543,5328.1918328921365,7765.085897772538,0.22369366948247882,2515.3303827879627,10280.416280560501
B-B04,B,R003841,5996.145410048589,8028.910102821545,0.37269471050610037,1753.9958351227592,9782.905937944304
C-B04,C,R000280,6502.260223975116,7932.143965170401,0.7309674882754471,1416.2371087365311,9348.381073906932
B-B01,B,R000241,6850.446831307134,8040.497898377545,0.7304272463366537,1133.9261063498002,9174.424004727345
