无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,R000098,0.0,1612.9286703553717,1612.9286703553717
U02,A,R002453,0.0,2071.020046420254,2071.020046420254
U03,A,R071593,0.0,1193.0428319099597,1193.0428319099597
U04,A,R071595,0.0,1193.0428319099597,1193.0428319099597
U05,B,R000203,0.0,1576.8673992791169,1576.8673992791169
U06,B,R000248,0.0,1924.9051008627825,1924.9051008627825
U07,C,R000575,0.0,2306.3409888727515,2306.3409888727515
U08,C,R000637,0.0,1561.3384316100783,1561.3384316100783
U03,A,R071594,1193.0428319099597,2386.0856638199193,1193.0428319099597
U05,B,R004168,1576.8673992791169,3817.635676432687,2240.76827715357
U08,C,R000490,1561.3384316100783,3673.4557525446717,2112.1173209345934
U06,B,R000262,1924.9051008627825,3794.3107489819904,1869.4056481192079
U07,C,R000438,2306.3409888727515,3868.224730068037,1561.8837411952854
U06,B,R000199,3794.3107489819904,5371.178148261108,1576.8673992791169
U08,C,R000543,3673.4557525446717,6110.3498174250735,2436.894064880402
U05,B,R000269,3817.635676432687,5648.107708464924,1830.4720320322367
U07,C,R000683,4814.408016736477,7019.37767682325,2204.969660086773
U06,B,R003841,5388.074598312278,7420.839291085234,2032.764692772956
U05,B,R000228,5648.107708464924,7083.392794971386,1435.285086506462
U08,C,R000606,6110.3498174250735,7991.186389529672,1880.8365721045984
U07,C,R000280,7019.37767682325,8449.261418018536,1429.8837411952854
U05,B,R000223,7083.392794971386,8585.026294596795,1501.6334996254095
U06,B,R000241,7420.839291085234,8610.890358155646,1190.051067070412
