电池编号,机型编号,架次编号,任务开始_s,返航时刻_s,返航SOC,充电时长_s,重新充满时刻_s
A-B01,A,R001718,0.0,2439.646021886475,0.2923337117385221,1419.9661747399214,3859.6121966263963
A-B02,A,R071593,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
A-B03,A,R071594,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
A-B04,A,R071595,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
B-B01,B,R000234,0.0,1555.285086506462,0.5442639312721033,1456.609185795021,3011.894272301483
B-B02,B,R000255,0.0,1511.124271245235,0.5433764511207355,1458.1474847240584,2969.2717559692933
C-B01,C,R000489,0.0,2046.1173209345932,0.2652397497536757,2425.3138755337027,4471.431196468296
C-B02,C,R000637,0.0,1561.3384316100783,0.6754079689847342,1536.6160671997427,3097.954498809821
B-B03,B,R000262,1511.124271245235,3380.529919364443,0.46513624077098803,1593.7638493302875,4974.29376869473
B-B04,B,R000248,1555.285086506462,3480.1901873692445,0.3104562468358474,1861.8758388178644,5342.066026187109
C-B03,C,R000438,1561.3384316100783,3123.2221728053637,0.633821157436679,1626.7208255538621,4749.942998359225
C-B04,C,R000660,2046.1173209345932,3954.2757785633194,0.5732464688409069,1757.9659841780351,5712.241762741354
C-B02,C,R000516,3123.2221728053637,5494.116237685766,0.24400033473779847,2471.332608068103,7965.448845753868
B-B01,B,R000217,3380.529919364443,5287.629802026086,0.37469575514924847,1750.5273577413025,7038.157159767388
B-B02,B,R000158,3480.1901873692445,5561.516206188448,0.36100546938781397,1774.2571863944559,7335.773392582904
C-B01,C,R000575,4471.431196468296,6777.772185341048,0.22704598713981916,2508.0670278637253,9285.839213204774
B-B03,B,R000269,5287.629802026086,7118.101834058322,0.4216762281099964,1669.094537942673,8787.196372000995
B-B04,B,R000215,5561.516206188448,7468.616088850091,0.2096367446678682,2036.6296425756952,9505.245731425786
C-B03,C,R007361,5494.116237685766,7998.862965100306,0.3371785046190048,2269.4465733254897,10268.309538425796
C-B04,C,R000590,6777.772185341048,8592.608757445647,0.4814794207120421,1956.794588457242,10549.403345902889
B-B01,B,R000227,7118.101834058322,8679.735333683731,0.47381812804008516,1578.715244730519,10258.450578414251
B-B02,B,R000241,7468.616088850091,8658.667155920502,0.7304272463366537,1133.9261063498002,9792.593262270302
