无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,R000074,0.0,1692.6029400021396,1692.6029400021396
U02,A,R001706,0.0,2439.646021886475,2439.646021886475
U03,A,R071593,0.0,1193.0428319099597,1193.0428319099597
U04,A,R071594,0.0,1193.0428319099597,1193.0428319099597
U05,B,R000234,0.0,1555.285086506462,1555.285086506462
U06,B,R000255,0.0,1511.124271245235,1511.124271245235
U07,C,R000637,0.0,1561.3384316100783,1561.3384316100783
U08,C,R000660,0.0,1908.158457628726,1908.158457628726
U03,A,R071595,1193.0428319099597,2386.0856638199193,1193.0428319099597
U06,B,R000248,1511.124271245235,3436.0293721080175,1924.9051008627825
U05,B,R000262,1555.285086506462,3424.69073462567,1869.4056481192079
U07,C,R000438,1561.3384316100783,3123.2221728053637,1561.8837411952854
U08,C,R000490,1908.158457628726,4020.2757785633194,2112.1173209345934
U07,C,R000575,3123.2221728053637,5429.563161678116,2306.3409888727515
U05,B,R000269,3424.69073462567,5255.162766657906,1830.4720320322367
U06,B,R000215,3436.0293721080175,5343.129254769659,1907.0998826616424
U08,C,R000543,4020.2757785633194,6457.169843443721,2436.894064880402
U05,B,R000217,5255.162766657906,7162.2626493195485,1907.0998826616424
U07,C,R012646,5429.563161678116,8417.525358241703,2987.9621965635874
U06,B,R003841,5343.129254769659,7375.893947542616,2032.764692772956
U08,C,R000604,6529.582109499243,8344.418681603842,1814.8365721045984
U05,B,R000241,7162.2626493195485,8352.313716389961,1190.051067070412
