架次编号,航段序号,起点,终点,航段开始_s,航段结束_s,payload_kg,distance_m,climb_m,descent_m,cruise_alt_m,time_s,horizontal_energy_kwh,climb_energy_kwh,energy_kwh
P000069-1,1,O01,S006,330.0,695.3677826754069,14.0,3184.5924057767584,238.39783935546876,51.29783935546874,366.09783935546875,365.3677826754069,0.6256656245266125,0.07579064642842612,0.7014562709550386
P000069-1,2,S006,O01,875.3677826754069,1253.2088986841472,0.0,3184.5924057767584,51.29783935546874,238.39783935546876,366.09783935546875,377.84111600874024,0.5732266330398165,0.013590365079243976,0.5868169981190604
P000076-1,1,O01,S006,360.0,725.3677826754069,17.0,3184.5924057767584,238.39783935546876,51.29783935546874,366.09783935546875,365.3677826754069,0.6456334371441177,0.07849745522944132,0.724130892373559
P000076-1,2,S006,O01,935.3677826754069,1313.2088986841472,0.0,3184.5924057767584,51.29783935546874,238.39783935546876,366.09783935546875,377.84111600874024,0.5732266330398165,0.013590365079243976,0.5868169981190604
P000149-1,1,O01,S002,360.0,1076.4995760418847,22.0,7443.597475979177,181.25425415039064,89.45425415039062,308.9542541503906,716.4995760418846,1.6048050951367967,0.06311172432708742,1.667916819463884
P000149-1,2,S002,S001,1256.4995760418847,1701.513508154911,14.0,4380.012571098506,89.74484252929688,125.24484252929688,309.2448425292969,445.0139321130265,0.8605256031383206,0.028531381187438965,0.8890569843257595
P000149-1,3,S001,O01,1881.513508154911,2224.9115907765577,0.0,3066.8388225144454,89.05661010742188,145.3566101074219,273.0566101074219,343.3980826216465,0.5520309880526002,0.023593817191653783,0.575624805244254
P002664-1,1,O01,S012,390.0,1155.828005645847,20.0,7406.727312867355,285.6009948730469,133.50099487304686,413.3009948730469,765.8280056458472,1.555868722944598,0.09728283887863161,1.6531515618232295
P002664-1,2,S012,S013,1335.828005645847,1660.929858008607,17.0,2867.1501971031175,156.7263671875,84.82636718750001,436.5263671875,325.1018523627598,0.5812762830201528,0.05160542152913412,0.6328817045492869
P002664-1,3,S013,O01,1870.929858008607,2399.8608598529595,0.0,4854.131973304105,47.48182373046876,271.48182373046876,399.18182373046875,528.9310018443524,0.8737437551947388,0.012579385939704051,0.8863231411344429
P002898-1,1,O01,S014,360.0,972.2594907262705,22.0,5416.97109624562,464.2473876953125,240.9473876953125,591.9473876953125,612.2594907262705,1.0588226399800365,0.15286312421925863,1.211685764199295
P002898-1,2,S014,O01,1182.2594907262705,1809.4056481192079,0.0,5416.97109624562,240.9473876953125,464.2473876953125,591.9473876953125,627.1461573929372,0.7738530137493743,0.05927473061879475,0.833127744368169
P004315-1,1,O01,S001,360.0,648.5307689130724,28.0,3066.8388225144454,145.3566101074219,89.05661010742188,273.0566101074219,288.5307689130724,0.7140580951239971,0.05116249849510193,0.765220593619099
P004315-1,2,S001,S012,828.5307689130724,1288.1687809564637,14.0,4701.774477525872,251.599609375,155.799609375,435.599609375,459.6380120433914,0.7779734809749483,0.07522653598361545,0.8532000169585638
P004315-1,3,S012,O01,1468.1687809564637,2120.691331387855,0.0,7406.727312867355,133.50099487304686,285.6009948730469,413.3009948730469,652.5225504313913,1.0581039018381935,0.0328421718290117,1.0909460736672052
P008672-1,1,O01,S007,450.0,988.0392288143631,45.0,4538.900569056266,384.27317504882814,163.47317504882812,511.9731750488281,538.0392288143631,1.807089495611826,0.16710679415378574,1.9741962897656118
P008672-1,2,S007,O01,1348.039228814363,1908.158457628726,0.0,4538.900569056266,163.47317504882812,384.27317504882814,511.9731750488281,560.119228814363,1.396584790478851,0.04324716902828217,1.4398319595071332
P016757-1,1,O01,S001,540.0,847.1268705976427,79.0,3066.8388225144454,145.3566101074219,89.05661010742188,273.0566101074219,307.1268705976427,2.0009260265384783,0.08191501103140514,2.0828410375698834
P016757-1,2,S001,S014,1279.1268705976427,1917.0335640221283,3.0,5204.419798339941,416.0504150390625,249.0504150390625,600.0504150390625,637.9066934244856,1.6076461939918283,0.11479090982437135,1.7224371038161996
P016757-1,3,S014,O01,2133.0335640221283,2822.6676193642843,0.0,5416.97109624562,240.9473876953125,464.2473876953125,591.9473876953125,689.6340553421559,1.6667603373063447,0.0637431333885193,1.7305034706948639
P000203-1,1,O01,S002,1643.2088986841472,2359.708474726032,12.0,7443.597475979177,181.25425415039064,89.45425415039062,308.9542541503906,716.4995760418846,1.4353111694932124,0.05625175429153443,1.4915629237847468
P000203-1,2,S002,S001,2569.708474726032,3014.7224068390583,3.0,4380.012571098506,89.74484252929688,125.24484252929688,309.2448425292969,445.0139321130265,0.795011867342648,0.02479512888908386,0.8198069962317318
P000203-1,3,S001,O01,3194.7224068390583,3538.120489460705,0.0,3066.8388225144454,89.05661010742188,145.3566101074219,273.0566101074219,343.3980826216465,0.5520309880526002,0.023593817191653783,0.575624805244254
P000241-1,1,O01,S001,1703.2088986841472,2042.8536479724603,20.0,3066.8388225144454,145.3566101074219,89.05661010742188,273.0566101074219,339.64474928831316,0.644224959378887,0.049512095317840586,0.6937370546967276
