无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,R000101,0.0,1612.9286703553717,1612.9286703553717
U02,A,R071593,0.0,1193.0428319099597,1193.0428319099597
U03,A,R071595,0.0,1193.0428319099597,1193.0428319099597
U05,B,R000203,0.0,1576.8673992791169,1576.8673992791169
U07,C,R000280,0.0,1429.8837411952854,1429.8837411952854
U06,B,R004168,0.0,2240.76827715357,2240.76827715357
U08,C,R000637,0.0,1561.3384316100783,1561.3384316100783
U02,A,R071594,1193.0428319099597,2386.0856638199193,1193.0428319099597
U07,C,R000490,1429.8837411952854,3542.001062129879,2112.1173209345934
U05,B,R000262,1576.8673992791169,3446.2730473983247,1869.4056481192079
U08,C,R000438,1561.3384316100783,3123.2221728053637,1561.8837411952854
U01,A,R000083,2046.7488795666027,3701.4935079633524,1654.7446283967497
U06,B,R000248,2240.76827715357,4165.673378016352,1924.9051008627825
U08,C,R000683,3123.2221728053637,5328.1918328921365,2204.969660086773
U05,B,R003841,3446.2730473983247,5479.037740171281,2032.764692772956
U07,C,R000543,3542.001062129879,5978.895127010281,2436.894064880402
U06,B,R006179,4165.673378016352,5992.979762646045,1827.306384629693
U05,B,R000269,5479.037740171281,7309.509772203518,1830.4720320322367
U08,C,R000575,5328.1918328921365,7634.532821764888,2306.3409888727515
U06,B,R000199,6027.549216834217,7604.416616113334,1576.8673992791169
U07,C,R000606,6051.307393065803,7932.143965170401,1880.8365721045984
U05,B,R000223,7309.509772203518,8811.143271828927,1501.6334996254095
U06,B,R000241,7604.416616113334,8794.467683183746,1190.051067070412
