无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,R000054,0.0,1313.2088986841472,1313.2088986841472
U02,A,R000086,0.0,1224.0611902019475,1224.0611902019475
U03,A,R002243,0.0,2482.7793849180125,2482.7793849180125
U04,A,R071594,0.0,1193.0428319099597,1193.0428319099597
U05,B,R000234,0.0,1555.285086506462,1555.285086506462
U06,B,R000255,0.0,1511.124271245235,1511.124271245235
U07,C,R000438,0.0,1561.8837411952854,1561.8837411952854
U08,C,R000619,0.0,1429.3384316100783,1429.3384316100783
U04,A,R071595,1193.0428319099597,2386.0856638199193,1193.0428319099597
U02,A,R001706,1224.0611902019475,3663.7072120884222,2439.646021886475
U08,C,R000490,1429.3384316100783,3541.4557525446717,2112.1173209345934
U06,B,R000262,1511.124271245235,3380.529919364443,1869.4056481192079
U05,B,R000248,1555.285086506462,3480.1901873692445,1924.9051008627825
U07,C,R000657,1561.8837411952854,3338.0421988240114,1776.158457628726
U01,A,R000025,2069.611745237179,4333.244418093866,2263.6326728566873
U07,C,R000575,3338.0421988240114,5644.383187696763,2306.3409888727515
U06,B,R000269,3380.529919364443,5211.00195139668,1830.4720320322367
U05,B,R000215,3480.1901873692445,5387.290070030887,1907.0998826616424
U08,C,R000543,3541.4557525446717,5978.3498174250735,2436.894064880402
U02,A,R000074,3663.7072120884222,5356.310152090562,1692.6029400021396
U03,A,R071593,2482.7793849180125,3675.822216827972,1193.0428319099597
U06,B,R000199,5211.00195139668,6787.869350675797,1576.8673992791169
U05,B,R003841,5387.290070030887,7420.054762803844,2032.764692772956
U07,C,R000604,5644.383187696763,7459.219759801362,1814.8365721045984
U08,C,R000280,6050.762083480596,7480.645824675881,1429.8837411952854
