电池编号,机型编号,架次编号,任务开始_s,返航时刻_s,返航SOC,充电时长_s,重新充满时刻_s
A-B01,A,R071593,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
A-B02,A,R071594,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
A-B03,A,R071595,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
B-B01,B,R000255,0.0,1511.124271245235,0.5433764511207355,1458.1474847240584,2969.2717559692933
B-B02,B,R000262,0.0,1869.4056481192079,0.46513624077098803,1593.7638493302875,3463.1694974494953
C-B01,C,R000490,0.0,2112.1173209345934,0.22647400110649651,2509.306330935924,4621.4236518705175
C-B02,C,R000634,0.0,1429.3384316100783,0.7043737469642182,1473.8568815775275,2903.1953131876057
C-B03,C,R000438,1429.3384316100783,2991.2221728053637,0.633821157436679,1626.7208255538621,4617.942998359225
B-B03,B,R000248,1511.124271245235,3436.0293721080175,0.3104562468358474,1861.8758388178644,5297.905210925882
B-B04,B,R000234,1869.4056481192079,3424.69073462567,0.5442639312721033,1456.609185795021,4881.299920420691
C-B04,C,R000660,2112.1173209345934,4020.2757785633194,0.5732464688409069,1757.9659841780351,5778.241762741354
C-B02,C,R000683,2991.2221728053637,5196.1918328921365,0.26701234184559763,2421.4732593345384,7617.6650922266745
B-B01,B,R000223,3424.69073462567,4926.324234251079,0.49791790894877586,1536.9422911554552,6463.266525406534
B-B02,B,R000269,3463.1694974494953,5293.6415294817325,0.4216762281099964,1669.094537942673,6962.7360674244055
C-B03,C,R000575,4617.942998359225,6924.283987231976,0.22704598713981916,2508.0670278637253,9432.3510150957
B-B04,B,R000158,4926.324234251079,7007.650253070284,0.36100546938781397,1774.2571863944559,8781.90743946474
C-B01,C,R000516,5196.1918328921365,7567.085897772538,0.24400033473779847,2471.332608068103,10038.418505840642
B-B03,B,R003841,5297.905210925882,7330.6699036988375,0.37269471050610037,1753.9958351227592,9084.665738821597
C-B04,C,R000606,6924.283987231976,8805.120559336574,0.4695780952345944,1982.580793658379,10787.701352994953
B-B01,B,R000241,7007.650253070284,8197.701320140695,0.7304272463366537,1133.9261063498002,9331.627426490495
C-B02,C,R000280,7617.6650922266745,9047.548833421959,0.7309674882754471,1416.2371087365311,10463.78594215849
B-B02,B,R000187,7330.6699036988375,8537.725722190426,0.7335561343684815,1128.5027004279652,9666.228422618391
