电池编号,机型编号,架次编号,任务开始_s,返航时刻_s,返航SOC,充电时长_s,重新充满时刻_s
A-B01,A,R000069,0.0,2177.7180981594097,0.3135559635136407,1392.377247432267,3570.095345591677
A-B02,A,R000074,0.0,1692.6029400021396,0.4798252738776434,1176.2271439590636,2868.830083961203
A-B03,A,R071593,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
A-B04,A,R071594,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
B-B01,B,R000255,0.0,1511.124271245235,0.5433764511207355,1458.1474847240584,2969.2717559692933
B-B02,B,R000262,0.0,1869.4056481192079,0.46513624077098803,1593.7638493302875,3463.1694974494953
C-B01,C,R000636,0.0,1495.3384316100783,0.6893580766897877,1506.3908338387932,3001.7292654488715
C-B02,C,R000660,0.0,1908.158457628726,0.5732464688409069,1757.9659841780351,3666.124441806761
C-B03,C,R000438,1495.3384316100783,3057.2221728053637,0.633821157436679,1626.7208255538621,4683.942998359225
B-B03,B,R000234,1511.124271245235,3066.409357751697,0.5442639312721033,1456.609185795021,4523.018543546717
B-B04,B,R000248,1869.4056481192079,3794.3107489819904,0.3104562468358474,1861.8758388178644,5656.186587799855
C-B04,C,R000490,1908.158457628726,4020.2757785633194,0.22647400110649651,2509.306330935924,6529.582109499243
C-B01,C,R000575,3057.2221728053637,5363.563161678116,0.22704598713981916,2508.0670278637253,7871.630189541841
B-B01,B,R000269,3066.409357751697,4896.881389783934,0.4216762281099964,1669.094537942673,6565.975927726607
B-B02,B,R005161,3794.3107489819904,6243.183350396752,0.20810968724193457,2039.2765421139802,8282.459892510731
C-B02,C,R000543,4020.2757785633194,6457.169843443721,0.22369366948247882,2515.3303827879627,8972.500226231685
A-B01,A,R071595,3570.095345591677,4763.138177501636,0.7279184248795054,853.7060476566429,5616.844225158279
B-B03,B,R000215,4896.881389783934,6803.981272445576,0.2096367446678682,2036.6296425756952,8840.61091502127
C-B03,C,R012646,5363.563161678116,8351.525358241703,0.21587936628587756,2532.2613730472654,10883.786731288968
B-B04,B,R003841,6243.183350396752,8275.948043169708,0.37269471050610037,1753.9958351227592,10029.943878292468
C-B04,C,R000606,6529.582109499243,8410.418681603842,0.4695780952345944,1982.580793658379,10392.99947526222
B-B01,B,R000241,6803.981272445576,7994.0323395159885,0.7304272463366537,1133.9261063498002,9127.958445865788
