无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,R000061,0.0,1728.1640849143257,1728.1640849143257
U02,A,R000086,0.0,1224.0611902019475,1224.0611902019475
U03,A,R000100,0.0,1612.9286703553717,1612.9286703553717
U04,A,R002244,0.0,2482.7793849180125,2482.7793849180125
U05,B,R000203,0.0,1576.8673992791169,1576.8673992791169
U06,B,R000262,0.0,1869.4056481192079,1869.4056481192079
U07,C,R000490,0.0,2112.1173209345934,2112.1173209345934
U08,C,R000637,0.0,1561.3384316100783,1561.3384316100783
U08,C,R000438,1561.3384316100783,3123.2221728053637,1561.8837411952854
U05,B,R000234,1576.8673992791169,3132.152485785579,1555.285086506462
U02,A,R001706,1224.0611902019475,3663.7072120884222,2439.646021886475
U06,B,R000248,1869.4056481192079,3794.3107489819904,1924.9051008627825
U07,C,R000543,2112.1173209345934,4549.011385814995,2436.894064880402
U01,A,R002168,2069.611745237179,4621.51985853845,2551.9081133012705
U03,A,R071594,2661.083045255781,3854.125877165741,1193.0428319099597
U08,C,R000575,3123.2221728053637,5429.563161678116,2306.3409888727515
U05,B,R000269,3132.152485785579,4962.624517817816,1830.4720320322367
U04,A,R000074,2756.5696854400876,4449.172625442227,1692.6029400021396
U06,B,R003841,3794.3107489819904,5827.075441754947,2032.764692772956
U03,A,R071595,3854.125877165741,5047.1687090757005,1193.0428319099597
U02,A,R000025,3893.2234006226945,6156.856073479382,2263.6326728566873
U07,C,R000604,4621.4236518705175,6436.260223975116,1814.8365721045984
U01,A,R071593,4707.831924822383,5900.874756732343,1193.0428319099597
U05,B,R000215,4962.624517817816,6869.724400479458,1907.0998826616424
U08,C,R000280,5429.563161678116,6859.446902873401,1429.8837411952854
