电池编号,机型编号,架次编号,任务开始_s,返航时刻_s,返航SOC,充电时长_s,重新充满时刻_s
A-B01,A,R071593,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
A-B02,A,R071594,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
A-B03,A,R071595,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
B-B01,B,R000248,0.0,1924.9051008627825,0.3104562468358474,1861.8758388178644,3786.780939680647
B-B02,B,R000255,0.0,1511.124271245235,0.5433764511207355,1458.1474847240584,2969.2717559692933
C-B01,C,R000489,0.0,2046.1173209345932,0.2652397497536757,2425.3138755337027,4471.431196468296
C-B02,C,R000637,0.0,1561.3384316100783,0.6754079689847342,1536.6160671997427,3097.954498809821
B-B03,B,R000234,1511.124271245235,3066.409357751697,0.5442639312721033,1456.609185795021,4523.018543546717
C-B03,C,R000438,1561.3384316100783,3123.2221728053637,0.633821157436679,1626.7208255538621,4749.942998359225
B-B04,B,R000262,1924.9051008627825,3794.3107489819904,0.46513624077098803,1593.7638493302875,5388.074598312278
C-B04,C,R000660,2046.1173209345932,3954.2757785633194,0.5732464688409069,1757.9659841780351,5712.241762741354
B-B02,B,R000227,3066.409357751697,4628.042857377106,0.47381812804008516,1578.715244730519,6206.758102107625
C-B02,C,R000683,3123.2221728053637,5328.1918328921365,0.26701234184559763,2421.4732593345384,7749.6650922266745
B-B01,B,R000269,3794.3107489819904,5624.782781014227,0.4216762281099964,1669.094537942673,7293.8773189569
C-B01,C,R000516,4471.431196468296,6842.3252613486975,0.24400033473779847,2471.332608068103,9313.6578694168
B-B03,B,R000241,4628.042857377106,5818.093924447518,0.7304272463366537,1133.9261063498002,6952.020030797317
C-B03,C,R000575,5328.1918328921365,7634.532821764888,0.22704598713981916,2508.0670278637253,10142.599849628612
B-B04,B,R000158,5624.782781014227,7706.1087998334315,0.36100546938781397,1774.2571863944559,9480.365986227887
C-B04,C,R007361,6842.3252613486975,9347.071988763237,0.3371785046190048,2269.4465733254897,11616.518562088726
C-B02,C,R000606,7749.6650922266745,9630.501664331274,0.4695780952345944,1982.580793658379,11613.082457989653
