电池编号,机型编号,架次编号,任务开始_s,返航时刻_s,返航SOC,充电时长_s,重新充满时刻_s
A-B01,A,R000098,0.0,1612.9286703553717,0.5494711231823133,1085.6875398629927,2698.6162102183644
A-B02,A,R002453,0.0,2071.020046420254,0.4911997743117894,1161.440293394674,3232.460339814928
A-B03,A,R071593,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
A-B04,A,R071594,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
B-B01,B,R000203,0.0,1576.8673992791169,0.5298282068614315,1481.631108106852,3058.498507385969
B-B02,B,R000248,0.0,1924.9051008627825,0.3104562468358474,1861.8758388178644,3786.780939680647
C-B01,C,R000438,0.0,1561.8837411952854,0.633821157436679,1626.7208255538621,3188.6045667491476
C-B02,C,R000637,0.0,1561.3384316100783,0.6754079689847342,1536.6160671997427,3097.954498809821
C-B03,C,R000490,1561.3384316100783,3673.4557525446717,0.22647400110649651,2509.306330935924,6182.762083480596
C-B04,C,R000683,1561.8837411952854,3766.8534012820583,0.26701234184559763,2421.4732593345384,6188.326660616596
B-B03,B,R000262,1576.8673992791169,3446.2730473983247,0.46513624077098803,1593.7638493302875,5040.036896728612
B-B04,B,R004168,1924.9051008627825,4165.673378016352,0.3672878950173668,1763.3676486365641,5929.041026652916
A-B03,A,R071595,2046.7488795666027,3239.7917114765623,0.7279184248795054,853.7060476566429,4093.4977591332054
B-B01,B,R003841,3446.2730473983247,5479.037740171281,0.37269471050610037,1753.9958351227592,7233.033575294041
C-B01,C,R000543,3673.4557525446717,6110.3498174250735,0.22369366948247882,2515.3303827879627,8625.680200213035
C-B02,C,R000575,3766.8534012820583,6073.194390154809,0.22704598713981916,2508.0670278637253,8581.261418018534
B-B02,B,R000223,4165.673378016352,5667.306877641762,0.49791790894877586,1536.9422911554552,7204.249168797218
B-B03,B,R000269,5479.037740171281,7309.509772203518,0.4216762281099964,1669.094537942673,8978.604310146191
C-B03,C,R029122,6182.762083480596,8665.113349503543,0.3767519523449796,2183.7041032525444,10848.817452756088
C-B04,C,R000606,6188.326660616596,8069.163232721195,0.4695780952345944,1982.580793658379,10051.744026379574
B-B04,B,R000228,5929.041026652916,7364.326113159378,0.6211476529097124,1323.3440682898317,8687.67018144921
B-B01,B,R000241,7309.509772203518,8499.56083927393,0.7304272463366537,1133.9261063498002,9633.48694562373
