无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,R001718,0.0,2439.646021886475,2439.646021886475
U02,A,R071593,0.0,1193.0428319099597,1193.0428319099597
U03,A,R071594,0.0,1193.0428319099597,1193.0428319099597
U04,A,R071595,0.0,1193.0428319099597,1193.0428319099597
U05,B,R000234,0.0,1555.285086506462,1555.285086506462
U06,B,R000255,0.0,1511.124271245235,1511.124271245235
U07,C,R000489,0.0,2046.1173209345932,2046.1173209345932
U08,C,R000637,0.0,1561.3384316100783,1561.3384316100783
U06,B,R000262,1511.124271245235,3380.529919364443,1869.4056481192079
U05,B,R000248,1555.285086506462,3480.1901873692445,1924.9051008627825
U08,C,R000438,1561.3384316100783,3123.2221728053637,1561.8837411952854
U07,C,R000660,2046.1173209345932,3954.2757785633194,1908.158457628726
U08,C,R000516,3123.2221728053637,5494.116237685766,2370.894064880402
U06,B,R000217,3380.529919364443,5287.629802026086,1907.0998826616424
U05,B,R000158,3480.1901873692445,5561.516206188448,2081.326018819204
U07,C,R000575,4471.431196468296,6777.772185341048,2306.3409888727515
U06,B,R000269,5287.629802026086,7118.101834058322,1830.4720320322367
U05,B,R000215,5561.516206188448,7468.616088850091,1907.0998826616424
U08,C,R007361,5494.116237685766,7998.862965100306,2504.74672741454
U07,C,R000590,6777.772185341048,8592.608757445647,1814.8365721045984
U06,B,R000227,7118.101834058322,8679.735333683731,1561.6334996254095
U05,B,R000241,7468.616088850091,8658.667155920502,1190.051067070412
