无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,R000101,0.0,1612.9286703553717,1612.9286703553717
U02,A,R002432,0.0,2011.020046420254,2011.020046420254
U03,A,R071593,0.0,1193.0428319099597,1193.0428319099597
U05,B,R000248,0.0,1924.9051008627825,1924.9051008627825
U06,B,R000262,0.0,1869.4056481192079,1869.4056481192079
U07,C,R000280,0.0,1429.8837411952854,1429.8837411952854
U08,C,R000637,0.0,1561.3384316100783,1561.3384316100783
U03,A,R071595,1193.0428319099597,2386.0856638199193,1193.0428319099597
U07,C,R000490,1429.8837411952854,3542.001062129879,2112.1173209345934
U08,C,R000438,1561.3384316100783,3123.2221728053637,1561.8837411952854
U01,A,R071594,1612.9286703553717,2805.9715022653313,1193.0428319099597
U06,B,R004168,1869.4056481192079,4110.173925272778,2240.76827715357
U05,B,R000203,1924.9051008627825,3501.7725001418994,1576.8673992791169
U02,A,R000083,2046.7488795666027,3701.4935079633524,1654.7446283967497
U08,C,R000683,3123.2221728053637,5328.1918328921365,2204.969660086773
U05,B,R000223,3501.7725001418994,5003.4059997673085,1501.6334996254095
U07,C,R000543,3542.001062129879,5978.895127010281,2436.894064880402
U06,B,R000269,4110.173925272778,5940.645957305015,1830.4720320322367
U05,B,R000199,5003.4059997673085,6580.273399046426,1576.8673992791169
U08,C,R000575,5328.1918328921365,7634.532821764888,2306.3409888727515
U06,B,R003841,5940.645957305015,7973.410650077971,2032.764692772956
U07,C,R000606,6051.307393065803,7932.143965170401,1880.8365721045984
U05,B,R000241,6580.273399046426,7770.324466116837,1190.051067070412
