电池编号,机型编号,架次编号,任务开始_s,返航时刻_s,返航SOC,充电时长_s,重新充满时刻_s
A-B01,A,R000070,0.0,2177.7180981594097,0.30767462317852,1400.022989867924,3577.7410880273337
A-B02,A,R071593,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
A-B03,A,R071594,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
A-B04,A,R071595,0.0,1193.0428319099597,0.7279184248795054,853.7060476566429,2046.7488795666027
B-B01,B,R000234,0.0,1555.285086506462,0.5442639312721033,1456.609185795021,3011.894272301483
B-B02,B,R000255,0.0,1511.124271245235,0.5433764511207355,1458.1474847240584,2969.2717559692933
C-B01,C,R000489,0.0,2046.1173209345932,0.2652397497536757,2425.3138755337027,4471.431196468296
C-B02,C,R000637,0.0,1561.3384316100783,0.6754079689847342,1536.6160671997427,3097.954498809821
B-B03,B,R000262,1511.124271245235,3380.529919364443,0.46513624077098803,1593.7638493302875,4974.29376869473
B-B04,B,R000248,1555.285086506462,3480.1901873692445,0.3104562468358474,1861.8758388178644,5342.066026187109
C-B03,C,R000438,1561.3384316100783,3123.2221728053637,0.633821157436679,1626.7208255538621,4749.942998359225
C-B04,C,R000660,2046.1173209345932,3954.2757785633194,0.5732464688409069,1757.9659841780351,5712.241762741354
C-B02,C,R000575,3123.2221728053637,5429.563161678116,0.22704598713981916,2508.0670278637253,7937.630189541841
B-B01,B,R000158,3380.529919364443,5461.855938183647,0.36100546938781397,1774.2571863944559,7236.1131245781025
B-B02,B,R000269,3480.1901873692445,5310.662219401482,0.4216762281099964,1669.094537942673,6979.756757344155
C-B01,C,R000516,4471.431196468296,6842.3252613486975,0.24400033473779847,2471.332608068103,9313.6578694168
B-B03,B,R000215,5310.662219401482,7217.762102063124,0.2096367446678682,2036.6296425756952,9254.391744638819
C-B03,C,R007361,5429.563161678116,7934.309889092656,0.3371785046190048,2269.4465733254897,10203.756462418145
B-B04,B,R004763,5461.855938183647,7626.873839758582,0.36107899401007926,1774.1297437158626,9401.003583474445
C-B04,C,R000590,6842.3252613486975,8657.161833453296,0.4814794207120421,1956.794588457242,10613.956421910538
B-B02,B,R000227,7217.762102063124,8779.395601688533,0.47381812804008516,1578.715244730519,10358.110846419053
B-B01,B,R000241,7626.873839758582,8816.924906828994,0.7304272463366537,1133.9261063498002,9950.851013178793
