无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,R071593,0.0,1193.0428319099597,1193.0428319099597
U02,A,R071594,0.0,1193.0428319099597,1193.0428319099597
U03,A,R071595,0.0,1193.0428319099597,1193.0428319099597
U05,B,R000262,0.0,1869.4056481192079,1869.4056481192079
U07,C,R000637,0.0,1561.3384316100783,1561.3384316100783
U08,C,R000660,0.0,1908.158457628726,1908.158457628726
U06,B,R000234,0.0,1555.285086506462,1555.285086506462
U06,B,R000248,1555.285086506462,3480.1901873692445,1924.9051008627825
U07,C,R000438,1561.3384316100783,3123.2221728053637,1561.8837411952854
U05,B,R000255,1869.4056481192079,3380.529919364443,1511.124271245235
U08,C,R000490,1908.158457628726,4020.2757785633194,2112.1173209345934
U07,C,R000675,3123.2221728053637,5196.1918328921365,2072.969660086773
U05,B,R000215,3380.529919364443,5287.629802026086,1907.0998826616424
U06,B,R000241,3480.1901873692445,4670.241254439657,1190.051067070412
U08,C,R000516,4020.2757785633194,6391.169843443721,2370.894064880402
U06,B,R000269,4838.677404088501,6669.149436120738,1830.4720320322367
U07,C,R000575,5196.1918328921365,7502.532821764888,2306.3409888727515
U05,B,R000158,5342.066026187109,7423.392045006312,2081.326018819204
U08,C,R000606,6529.582109499243,8410.418681603842,1880.8365721045984
U06,B,R003841,6669.149436120738,8701.914128893693,2032.764692772956
U05,B,R000223,7423.392045006312,8925.025544631722,1501.6334996254095
U07,C,R000280,7502.532821764888,8932.416562960174,1429.8837411952854
