无人机编号,机型编号,架次编号,占用开始_s,占用结束_s,占用时长_s
U01,A,R000010,0.0,1253.0428319099597,1253.0428319099597
U02,A,R071593,0.0,1193.0428319099597,1193.0428319099597
U03,A,R071594,0.0,1193.0428319099597,1193.0428319099597
U04,A,R071595,0.0,1193.0428319099597,1193.0428319099597
U05,B,R000255,0.0,1511.124271245235,1511.124271245235
U06,B,R000262,0.0,1869.4056481192079,1869.4056481192079
U07,C,R000326,0.0,1429.8837411952854,1429.8837411952854
U08,C,R000660,0.0,1908.158457628726,1908.158457628726
U07,C,R000637,1429.8837411952854,2991.2221728053637,1561.3384316100783
U05,B,R000234,1511.124271245235,3066.409357751697,1555.285086506462
U06,B,R000248,1869.4056481192079,3794.3107489819904,1924.9051008627825
U08,C,R000490,1908.158457628726,4020.2757785633194,2112.1173209345934
U07,C,R000683,3002.977873846923,5207.947533933696,2204.969660086773
U05,B,R003841,3066.409357751697,5099.174050524653,2032.764692772956
U06,B,R000223,3794.3107489819904,5295.9442486074,1501.6334996254095
U08,C,R000516,4020.2757785633194,6391.169843443721,2370.894064880402
U05,B,R000269,5099.174050524653,6929.646082556889,1830.4720320322367
U07,C,R000575,5207.947533933696,7514.288522806448,2306.3409888727515
U06,B,R000158,5656.186587799855,7737.512606619059,2081.326018819204
U08,C,R000606,6529.582109499243,8410.418681603842,1880.8365721045984
U05,B,R000241,6929.646082556889,8119.697149627302,1190.051067070412
U07,C,R000278,7629.420793268235,8927.304534463521,1297.8837411952854
U06,B,R000115,7737.512606619059,8888.327477778537,1150.8148711594781
