                        solution  feasible  violations  trip_count  box_count  multi_stop_trip_count   makespan_s  total_energy_kwh  weighted_delay  on_expected_time_count  on_expected_time_rate  minimum_hard_deadline_slack_s  minimum_energy_margin_kwh
 Q2_moead_schedule_P023_repaired      True           0          24         80                      3  7591.219760         67.272642    0.000000e+00                      80                 1.0000                     341.440611                   0.038547
          Q2_moead_schedule_P024     False          11          25         80                      3  7589.836572         69.086845    3.829328e+04                      75                 0.9375                     146.740509                   0.038547
 Q2_moead_schedule_P024_repaired      True           0          25         80                      3  7590.674450         69.086845    1.262526e+04                      79                 0.9875                     146.512155                   0.038547
          Q2_moead_schedule_P025     False          14          25         80                      3  7477.883741         69.222428    1.101174e+04                      79                 0.9875                     681.531340                   0.038547
 Q2_moead_schedule_P025_repaired      True           0          25         80                      3  7480.645825         69.222428    0.000000e+00                      80                 1.0000                     681.192908                   0.038547
          Q2_moead_schedule_P026     False           8          25         80                      4  7308.472032         70.253875    0.000000e+00                      80                 1.0000                     503.323984                   0.038547
 Q2_moead_schedule_P026_repaired      True           0          25         80                      4  7309.509772         70.253875    0.000000e+00                      80                 1.0000                     502.286244                   0.038547
          Q2_moead_schedule_P027     False          12          25         80                      4  6869.099883         70.676315    3.696347e+04                      78                 0.9750                     369.002331                   0.038547
 Q2_moead_schedule_P027_repaired      True           0          25         80                      4  6869.724400         70.676315    3.673497e+04                      78                 0.9750                     458.211801                   0.038547
             Q2_joint_schedule_E     False          13          21         80                      1  9176.883741         62.304853    4.992381e+04                      77                 0.9625                     139.960771                   0.211792
    Q2_joint_schedule_E_repaired      True           0          21         80                      1  9179.548833         62.304853    5.000376e+04                      77                 0.9625                     139.843450                   0.211792
             Q2_joint_schedule_N     False          12          20         80                      2  9561.836572         64.280477    1.512692e+04                      76                 0.9500                      -0.259491                   0.127035
    Q2_joint_schedule_N_repaired      True           0          20         80                      2  9564.501664         64.280477    1.520127e+04                      77                 0.9625                     202.372882                   0.127035
             Q2_joint_schedule_T     False          10          24         80                      4  7721.051067         67.441825    2.984543e+03                      76                 0.9500                     117.740509                   0.189549
    Q2_joint_schedule_T_repaired      True           0          24         80                      4  7719.806017         67.441825    3.086792e+03                      76                 0.9500                     116.972232                   0.189549
         Q2_anchor_Cmax_schedule     False          19          31         80                      6  7367.969660         84.954998    7.847102e+04                      76                 0.9500                      59.171994                   0.277407
Q2_anchor_Cmax_schedule_repaired      True           0          31         80                      6  7369.085898         84.954998    7.852899e+04                      76                 0.9500                      59.111562                   0.277407
            Q2_anchor_E_schedule     False          22          32         80                      5 22087.326019         77.888773    1.825820e+06                      52                 0.6500                      18.335195                   0.105470
   Q2_anchor_E_schedule_repaired      True           0          32         80                      5 22093.929649         77.888773    1.827103e+06                      52                 0.6500                      14.887248                   0.105470
           Q2_anchor_F1_schedule     False          24          44         80                      9 12126.333646        119.442587    0.000000e+00                      80                 1.0000                      75.893177                   0.019397
  Q2_anchor_F1_schedule_repaired      True           0          44         80                      9 11944.367902        119.442587    0.000000e+00                      80                 1.0000                      95.230159                   0.019397
            Q2_anchor_N_schedule     False          21          29         80                      7 12370.883741         89.485698    7.913910e+05                      66                 0.8250                     118.873129                   0.135844
   Q2_anchor_N_schedule_repaired      True           0          29         80                      7 12375.015354         89.485698    7.919340e+05                      66                 0.8250                     118.475410                   0.135844
                  local_baseline      True           0          25         80                     14  7999.360227         87.550558    7.044362e+04                      73                 0.9125                    1649.576660                   0.034014
                  local_improved      True           0          25         80                     14  7993.355463         86.348174    3.183013e+04                      76                 0.9500                     968.427607                   0.129271
CANDIDATES 214
